Card name,Element,Value,Effect
Flooring Upgrade,Fire,1,Discard all purple cards
Gadget Room,Fire,1,Water cards become fire (for both players)
Jackhammer,Fire,1,Lower value card wins
Jet Pack,Fire,1,Discard an orange card
Thin Ice,Fire,1,Discard a purple card
Night Vision Goggles,Fire,1,Discard a yellow card
Mighty Plunger,Fire,1,Discard a red card
Dragon,Fire,1,Next played card −2 (opponent’s)
Space Adventure,Snow,1,Block water cards next turn
Sled Racing,Snow,1,Lower value card wins
Puffle Round‑Up,Snow,1,Discard a water card
Snow Globe Igloo,Snow,1,Discard a purple card
Water Party,Water,1,Block fire cards next turn
Catchin’ Waves,Water,1,Snow cards become water (for this round)
Firefighter,Water,1,Lower value card wins
Aqua Grabber,Water,1,Discard an orange card
Octopus,Water,1,Discard a purple card
Cactus,Water,1,Discard a green card
Tipping the Iceberg,Water,1,Next played card +2
Ninja,Water,1,Discard a yellow card
White Puffle,Snow,2,Discard a yellow card
Keeper of the Boiler Room,Water,2,Discard a green card
Penguin Band,Fire,3,Water cards become fire (for both players)
Dojo Sketch,Fire,3,Block snow cards next turn
Flare Flinger 3000,Fire,3,Discard a purple card
Herbert & Klutzy,Fire,3,Discard a red card
Coffee Delivery Truck,Snow,3,Discard an orange card
Halloween Party,Snow,3,Discard a yellow card
Sensei,Snow,3,Discard a water card
Jackhammers,Water,3,Discard a purple card
Quest for the Golden Puffle,Water,3,Discard a yellow card
Storm,Water,3,Discard an orange card
Rockhopper,Water,3,Snow becomes water (for this round)
Switchbox 3000,Fire,4,Discard a blue card
Cadence,Fire,4,Discard a red card
Cloud Wave,Fire,4,Discard an orange card
Ghost Sheet,Snow,4,Discard a red card
Cart Surfer,Snow,4,Discard a green card
Keytar,Snow,4,Discard a purple card
X‑treme Jetpack,Snow,4,Discard a yellow card (to user)
Gold Viking Helmet,Water,4,Discard a purple card
Rockhopper’s Cannon,Water,4,Discard a green card
Orange Puffle Wagon,Fire,6,Water cards become fire (for both players)
Fire Dragon,Fire,6,Discard a purple card
Puffle Rescue: Underground,Fire,6,Discard a red card
Double Necked Guitar,Snow,6,Discard an orange card
Spy Phone,Snow,6,Discard a yellow card
Dance Contest,Snow,6,Discard a purple card
Crab Costume,Water,6,Discard a purple card
Puffle Washer,Water,6,Discard a yellow card
Green Jackhammer,Water,6,Discard an orange card
Island Lifter 3000,Fire,6,Water cards become fire (for both players)
Flare,Fire,6,Discard a yellow card
Popcorn Device,Fire,6,Discard a purple card
Field‑Ops,Fire,6,Discard a red card
Recipe for Disaster,Snow,6,Discard an orange card
Aunt Arctic Sketch,Snow,6,Discard a yellow card
Yeti Cave,Snow,6,Discard a purple card
Shocktopus,Water,6,Discard a purple card
Puffle Rescue: Underwater,Water,6,Discard a yellow card
Hidden Lake Lock,Water,6,Discard an orange card
Knight’s Quest,Water,6,Snow becomes water (for this round)
Puffle Round Up,Snow,7,Discard a water card
Halloween Swamp,Snow,7,Discard an orange card
Elite Puffle: Flare,Snow,7,Discard a purple card
Giant Pearl,Water,7,Discard a purple card
EPF Agents,Water,7,Discard an orange card
Puffle Rescue,Water,7,Water becomes fire (for this round)
Adventurous Red Puffle,Fire,7,Discard a purple card
G and the Machine,Fire,7,Discard a red card
Enemies of the System,Snow,7,Discard an orange card
Holiday Dojo Lights,Snow,7,Change fire → snow (all fire cards become snow)
Wii Rollin’ Riot,Snow,7,Discard a yellow card
EPF Under Attack,Snow,7,Discard a purple card
Elite Comm Class Agents,Water,7,Discard a purple card
Brown Puffle Cliff,Water,7,Discard a yellow card
Coins for Change Goal!,Water,7,Discard an orange card
Sensei Water Battle,Water,7,Block fire cards next turn
Green Puffles in Jet Pack Adve,Fire,7,Discard a yellow card
Water Dojo,Water,7,Discard a purple card
White Puffle,Snow,7,Discard a yellow card
Keeper of the Boiler Room,Water,7,Discard a green card
